city,year_month,monthly_mean_raininess
Oslo,2021-09,3.0933333333333333
Oslo,2021-10,5.125806451612903
Oslo,2021-11,2.393333333333333
Oslo,2021-12,0.05161290322580645
Oslo,2022-01,0.08387096774193549
Oslo,2022-02,1.2750000000000001
Oslo,2022-03,0.26129032258064516
Oslo,2022-04,0.23666666666666666
Oslo,2022-05,2.532258064516129
Oslo,2022-06,3.3333333333333335
Oslo,2022-07,2.5999999999999996
Oslo,2022-08,1.5580645161290323
Oslo,2022-09,3.5733333333333333
Oslo,2022-10,3.325806451612903
Oslo,2022-11,3.893333333333333
Oslo,2022-12,1.2032258064516128
Oslo,2023-01,1.2838709677419353
Oslo,2023-02,0.5107142857142857
Oslo,2023-03,0.7225806451612903
Oslo,2023-04,3.9433333333333334
Oslo,2023-05,0.5032258064516129
Oslo,2023-06,1.8133333333333332
Oslo,2023-07,6.145161290322581
Oslo,2023-08,8.561290322580644
Oslo,2023-09,4.863333333333333
Oslo,2023-10,0.9483870967741935
Oslo,2023-11,1.8333333333333333
Oslo,2023-12,0.05806451612903226
Oslo,2024-01,0.0
Seattle,2021-01,7.961290322580645
Seattle,2021-02,3.842857142857143
Seattle,2021-03,2.7419354838709675
Seattle,2021-04,1.2733333333333334
Seattle,2021-05,1.170967741935484
Seattle,2021-06,2.0733333333333333
Seattle,2021-07,0.10967741935483871
Seattle,2021-08,0.6193548387096774
Seattle,2021-09,2.9099999999999997
Seattle,2021-10,5.316129032258065
Seattle,2021-11,8.81
Seattle,2021-12,4.232258064516128
Seattle,2022-01,5.429032258064517
Seattle,2022-02,3.582142857142857
Seattle,2022-03,2.819354838709677
Seattle,2022-04,2.8866666666666663
Seattle,2022-05,3.858064516129032
Seattle,2022-06,2.606666666666667
Seattle,2022-07,0.2709677419354839
Seattle,2022-08,0.4838709677419355
Seattle,2022-09,0.35
Seattle,2022-10,2.7225806451612904
Seattle,2022-11,3.6733333333333333
Seattle,2022-12,5.525806451612904
Seattle,2023-01,3.6451612903225805
Seattle,2023-02,1.864285714285714
Seattle,2023-03,2.570967741935484
Seattle,2023-04,4.08
Seattle,2023-05,0.6580645161290323
Seattle,2023-06,1.1033333333333333
Seattle,2023-07,0.16129032258064518
Seattle,2023-08,0.9548387096774192
Seattle,2023-09,2.6199999999999997
Seattle,2023-10,2.7548387096774194
Seattle,2023-11,4.773333333333334
Seattle,2023-12,6.887096774193548
Seattle,2024-01,0.0
